Identifier Recorder initialized, 2018-04-03#06.43.38PM
        
        
    original_test50.xml    SCRUBBING FILE:
    FetchWordTokensVisitor    Doe
    FetchWordTokensVisitor    John
    FetchWordTokensVisitor    1940-01-01
    FetchWordTokensVisitor    05-0001D
    FetchWordTokensVisitor    7654321
    FetchWordTokensVisitor    2005-01-01
    REGEX:TELEPHONE3    ">008-653-3263</
    REGEX:TELEPHONE3    ">442-025-0303</
    REGEX:TELEPHONE3    ">442-025-0303</
    REGEX:TELEPHONE3    ">935-131-3314</
    REGEX:TELEPHONE3    ">959-1490</
    REGEX:TELEPHONE3    ">610-7597</
    REGEX:TELEPHONE3    ">610-7597</
    REGEX:TELEPHONE3    ">639-873-2993</
    REGEX:TELEPHONE3    ">639-873-2993</
    REGEX:TELEPHONE3    ">438-9748</
    REGEX:TELEPHONE3    ">349-034-0703</
    REGEX:TELEPHONE3    ">639-873-2993</
    REGEX:TELEPHONE3    ">639-873-2993</
    REGEX:TELEPHONE1    ">2878891</
    REGEX:TELEPHONE1    ">1885323</
    REGEX:TELEPHONE1    ">9881122</
    REGEX:TELEPHONE1    ">6001356</
    REGEX:TELEPHONE1    ">0571009</
    REGEX:TELEPHONE1    ">0150441</
    REGEX:TELEPHONE1    ">6932882</
    REGEX:TELEPHONE1    ">8634097</
    REGEX:TELEPHONE1    ">3895622</
    REGEX:TELEPHONE1    ">2513486</
    REGEX:TELEPHONE1    ">2513486</
    REGEX:TELEPHONE1    ">0171413</
    REGEX:TELEPHONE1    ">1225706</
    REGEX:TELEPHONE1    ">6674056</
    REGEX:TELEPHONE1    ">0626407</
    REGEX:TELEPHONE1    ">8939200</
    REGEX:TELEPHONE1    ">7958442</
    REGEX:TELEPHONE1    ">7958442</
    REGEX:TELEPHONE1    ">5442905</
    REGEX:TELEPHONE1    ">5442905</
    REGEX:TELEPHONE1    ">0750210</
    REGEX:TELEPHONE1    ">7198495</
    REGEX:TELEPHONE1    ">0239706</
    REGEX:TELEPHONE1    ">9086106</
    REGEX:TELEPHONE1    ">7432347</
    REGEX:TELEPHONE1    ">5615474</
    REGEX:TELEPHONE1    ">6676757</
    REGEX:TELEPHONE1    ">2842701</
    REGEX:TELEPHONE1    ">7961198</
    REGEX:TELEPHONE1    ">6857671</
    REGEX:TELEPHONE1    ">5569091</
    REGEX:TELEPHONE1    ">5569091</
    REGEX:TELEPHONE1    ">2137183</
    REGEX:TELEPHONE1    ">7271129</
    REGEX:TELEPHONE1    ">5669108</
    REGEX:TELEPHONE1    ">7238685</
    REGEX:TELEPHONE1    ">5345404</
    REGEX:TELEPHONE1    ">9101799</
    REGEX:TELEPHONE1    ">2427050</
    REGEX:TELEPHONE1    ">2249928</
    REGEX:TELEPHONE1    ">0520610</
    REGEX:TELEPHONE1    ">4047430</
    REGEX:TELEPHONE1    ">1207026</
    REGEX:TELEPHONE1    ">6114063</
    REGEX:TELEPHONE1    ">9075321</
    REGEX:TELEPHONE1    ">7191549</
    REGEX:TELEPHONE1    ">2766343</
    REGEX:TELEPHONE1    ">8857096</
    REGEX:TELEPHONE1    ">1585733</
    REGEX:TELEPHONE1    ">1320527</
    REGEX:TELEPHONE1    ">5647889</
    REGEX:TELEPHONE1    ">4107358</
    REGEX:TELEPHONE1    ">6344600</
    REGEX:TELEPHONE1    ">0165210</
    REGEX:TELEPHONE1    ">3053776</
    REGEX:TELEPHONE1    ">1848548</
    REGEX:TELEPHONE1    ">7377000</
    REGEX:TELEPHONE1    ">7377000</
    REGEX:TELEPHONE1    ">9441698</
    REGEX:TELEPHONE1    ">5785142</
    REGEX:TELEPHONE1    ">7140319</
    REGEX:TELEPHONE1    ">7625956</
    REGEX:TELEPHONE1    ">9506800</
    REGEX:TELEPHONE1    ">3546292</
    REGEX:TELEPHONE1    ">0641514</
    REGEX:DATE4    ">11/28</
    REGEX:DATE4    ">11/05</
    REGEX:DATE4    ">11/08</
    REGEX:DATE4    ">01/27</
    REGEX:DATE4    ">10/13</
    REGEX:DATE4    ">11/03</
    REGEX:DATE4    ">10/30</
    REGEX:DATE4    ">10/31</
    REGEX:DATE4    ">11/03</
    REGEX:DATE4    ">04/08</
    REGEX:DATE4    ">03/26</
    REGEX:DATE4    ">03/27</
    REGEX:DATE4    ">03/29</
    REGEX:DATE4    ">02/04</
    REGEX:DATE4    ">02/04</
    REGEX:DATE4    ">02/05</
    REGEX:DATE4    ">12/13</
    REGEX:DATE4    ">12/17</
    REGEX:DATE4    ">12/17</
    REGEX:DATE4    ">12/17</
    REGEX:DATE4    ">10/04</
    REGEX:DATE4    ">10/06</
    REGEX:DATE4    ">10/13</
    REGEX:DATE4    ">10/09</
    REGEX:DATE4    ">03/29</
    REGEX:DATE4    ">05/22</
    REGEX:DATE4    ">03/29</
    REGEX:DATE4    ">09/18</
    REGEX:DATE4    ">10/15</
    REGEX:DATE4    ">10/21</
    REGEX:DATE4    ">10/29</
